,bo,dpo_translation,ref_translation
0,བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོ། །,"Bhagavatī, essence of the perfection of wisdom!
","The Heart of the Perfection of Wisdom, the Blessed Mother"
1,༄༅། །​རྒྱ་གར་སྐད་དུ། བྷ་ག་བ་ཏི་པྲ་ཛྙ་པ་ར་མི་ཏཱྀ་ཧྲད་ཡ།,"In the language of India: Bhagavatīprajñāpāramitāhṛdaya.
",In the language of India: Bhagavatī prajñāpāramitā hṛdaya
2,བོད་སྐད་དུ། བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོ།,"In the Tibetan language: Bhagavatī Prajñāpāramitāhṛdaya.
","In the language of Tibet: Homage to the Perfection of Wisdom, the Blessed Mother!"
3,བམ་པོ་གཅིག་གོ །​,"One section.
",In a single segment.
4,​འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་བྱ་རྒོད་ཕུང་པོའི་རི་ལ་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། ​བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ།,"Thus have I heard at one time. The Blessed One was dwelling on Vulture Peak Mountain in Rājagṛha together with a great saṅgha of monks and a great saṅgha of bodhisattvas.
","Thus did I hear at one time.
The Blessed One was residing on Vulture Peak Mountain at Rājagṛha together with a great saṅgha of monks and a great saṅgha of bodhisattvas."
5,དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཟབ་མོ་སྣང་བ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་རྣམ་གྲངས་ཀྱི་ཏིང་ངེ་འཛིན་ལ་སྙོམས་པར་ཞུགས་སོ། །,"At that time, the Blessed One entered the absorption known as the Dharma discourse called the Appearance of the Profound.
",At that time the Blessed One rested in an absorption on the categories of phenomena called illumination of the profound.
6,​ཡང་དེའི་ཚེ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཟབ་མོའི་སྤྱོད་པ་ཉིད་ལ་རྣམ་པར་བལྟ་ཞིང་།,"At that time, the bodhisattva great being noble Avalokiteśvara was looking at the profound conduct of the perfection of insight.
","At the same time, the bodhisattva great being, noble Avalokiteśvara, while practicing the profound perfection of wisdom, looked and saw that the five aggregates are also empty of an intrinsic nature."
7,ཕུང་པོ་ལྔ་པོ་དེ་དག་ལ་ཡང་རང་བཞིན་གྱིས་སྟོང་པར་རྣམ་པར་བལྟའོ། །,"They should also view the five aggregates as empty of inherent existence.
","At the same time, the bodhisattva great being, noble Avalokiteśvara, while practicing the profound perfection of wisdom, looked and saw that the five aggregates are also empty of an intrinsic nature."
8,​དེ་ནས་སངས་རྒྱས་ཀྱི་མཐུས། ​ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་བྱང་ཆུབ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །​,"Then, through the power of the Buddha, Venerable Śāriputra asked the great bodhisattva noble Avalokiteśvara, ""How should one practice the profound perfection of wisdom?""
","Then, due to the Buddha’s power, venerable Śāriputra asked the bodhisattva great being, noble Avalokiteśvara,"
9,རིགས་ཀྱི་བུ་གང་ལ་ལ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟབ་མོའི་སྤྱོད་པ་སྤྱད་པར་འདོད་པ་དེས་ཇི་ལྟར་བསླབ་པར་བྱ།,"Noble son, how should those who wish to practice the conduct of the profound perfection of wisdom train?""
",“How should sons of noble family or daughters of noble family train if they wish to engage in the practice of the profound perfection of wisdom?”
10,དེ་སྐད་ཅེས་སྨྲས་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་གིས་ཚེ་དང་ལྡན་པ་ཤཱ་ར་དྭ་ཏའི་བུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །,"When he had said this, the bodhisattva great being noble Avalokiteśvara said to the venerable Śāradvatīputra, ""Venerable Śāradvatīputra, the Tathāgata has not said that.
","The bodhisattva great being, noble Avalokiteśvara, replied to venerable Śāradvatīputra,"
11,​ཤཱ་རིའི་བུ་རིགས་ཀྱི་བུའམ། རིགས་ཀྱི་བུ་མོ་གང་ལ་ལ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཟབ་མོའི་སྤྱོད་པ་སྤྱད་པར་འདོད་པ་དེས་འདི་ལྟར་རྣམ་པར་བལྟ་བར་བྱ་སྟེ།,"Śāriputra, any noble son or noble daughter who wishes to practice the profound conduct of the perfection of wisdom should view it in this way.
","“Śāriputra, sons of noble family or daughters of noble family who wish to engage in the practice of the profound perfection of wisdom should see things in this way:"
12,​ཕུང་པོ་ལྔ་པོ་དེ་དག་ཀྱང་རང་བཞིན་གྱིས་སྟོང་པར་རྣམ་པར་ཡང་དག་པར་རྗེས་སུ་བལྟའོ། །,"They should also correctly perceive the five aggregates as empty of inherent existence.
",they should correctly observe the five aggregates to be empty of an intrinsic nature.
13,​གཟུགས་སྟོང་པའོ། །,"Form is empty.
",“Form is empty.
14,སྟོང་པ་ཉིད་གཟུགས་སོ། །,"Emptiness is form.
",Emptiness is form.
15,​གཟུགས་ལས་སྟོང་པ་ཉིད་གཞན་མ་ཡིན།,"Emptiness is not other than form.
","Emptiness is not other than form, and form is also not other than emptiness."
16,སྟོང་པ་ཉིད་ལས་ཀྱང་གཟུགས་གཞན་མ་ཡིན་ནོ། །,"Emptiness is not other than form.
","Emptiness is not other than form, and form is also not other than emptiness."
17,​དེ་བཞིན་དུ་ཚོར་བ་དང་། ​འདུ་ཤེས་དང་། འདུ་བྱེད་དང་། རྣམ་པར་ཤེས་པ་རྣམས་སྟོང་པའོ། །,"Likewise, feelings, perceptions, formative predispositions, and consciousness are empty.
","In the same way, feeling, perception, formation, and consciousness are empty."
18,​ཤཱ་རིའི་བུ་དེ་ལྟ་བས་ན་ཆོས་ཐམས་ཅད་སྟོང་པ་ཉིད་དེ།,"Therefore, Śāriputra, all phenomena are emptiness.
","“Śāriputra, therefore, all phenomena are emptiness;"
19,མཚན་ཉིད་མེད་པ།,"It is without characteristics.
","they are without characteristics, unborn, unceasing, without stains, without absence of stains, not deficient, and not complete."
20,མ་སྐྱེས་པ།,"It is unborn.
","they are without characteristics, unborn, unceasing, without stains, without absence of stains, not deficient, and not complete."
21,​མ་འགགས་པ།,"Aniruddha,
","they are without characteristics, unborn, unceasing, without stains, without absence of stains, not deficient, and not complete."
22,དྲི་མ་མེད་པ།,"Stainless.
","they are without characteristics, unborn, unceasing, without stains, without absence of stains, not deficient, and not complete."
23,དྲི་མ་དང་བྲལ་བ་མེད་པ།,"It is without impurities.
","they are without characteristics, unborn, unceasing, without stains, without absence of stains, not deficient, and not complete."
24,​བྲི་བ་མེད་པ།,"It is without diminution.
","they are without characteristics, unborn, unceasing, without stains, without absence of stains, not deficient, and not complete."
25,གང་བ་མེད་པའོ། །,"It is not full.
","they are without characteristics, unborn, unceasing, without stains, without absence of stains, not deficient, and not complete."
26,​ཤཱ་རིའི་བུ་དེ་ལྟ་བས་ན་སྟོང་པ་ཉིད་ལ་གཟུགས་མེད།,"Śāriputra, therefore, there is no form in emptiness.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
27,ཚོར་བ་མེད།,"There is no sensation.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
28,​འདུ་ཤེས་མེད།,"They have no perception.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
29,འདུ་བྱེད་མེད།,"There are no formations.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
30,རྣམ་པར་ཤེས་པ་མེད།,"There is no consciousness.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
31,མིག་མེད།,"They have no eyes.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
32,རྣ་བ་མེད།,"They have no ears.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
33,སྣ་མེད།,"It is without a nose.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
34,ལྕེ་མེད།,"They have no tongues.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
35,ལུས་མེད།,"It is without body.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
36,ཡིད་མེད།,"There is no mind.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
37,གཟུགས་མེད།,"It is formless.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
38,སྒྲ་མེད།,"It is without sound.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
39,དྲི་མེད།,"Stainless.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
40,རོ་མེད།,"It has no taste.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
41,རེག་བྱ་མེད།,"There is no tactile sensation.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
42,ཆོས་མེད་དོ། །,"There are no phenomena.
","“Śāriputra, therefore, in emptiness there is no form, no feeling, no perception, no formations, no consciousness, no eye, no ear, no nose, no tongue, no body, no mind, no form, no sound, no smell, no taste, no texture, and no mental object."
43,​མིག་གི་ཁམས་མེད་པ་ནས་ཡིད་ཀྱི་ཁམས་མེད།,"There is no visual element, and there is no mental element.
","“There is no element of the eye, up to no element of the mind, and further up to no element of the mind consciousness."
44,ཡིད་ཀྱི་རྣམ་པར་ཤེས་པའི་ཁམས་ཀྱི་བར་དུ་ཡང་མེད་དོ། །,"The sensory element of mental consciousness does not exist.
","“There is no element of the eye, up to no element of the mind, and further up to no element of the mind consciousness."
45,​མ་རིག་པ་མེད།,"There is no ignorance.
","“There is no ignorance and no exhaustion of ignorance, up to no aging and death and no exhaustion of aging and death."
46,​མ་རིག་པ་ཟད་པ་མེད་པ་ནས་རྒ་ཤི་མེད།,"There is no extinction of ignorance, and so on, up to and including no extinction of old age and death.
","“There is no ignorance and no exhaustion of ignorance, up to no aging and death and no exhaustion of aging and death."
47,​རྒ་ཤི་ཟད་པའི་བར་དུ་ཡང་མེད་དོ། །,"There is no birth, aging, and death.
","“There is no ignorance and no exhaustion of ignorance, up to no aging and death and no exhaustion of aging and death."
48,སྡུག་བསྔལ་བ་དང་། ཀུན་འབྱུང་བ་དང་། འགོག་པ་དང་། ལམ་མེད།,"There is no suffering, origin, cessation, or path.
","“There is no suffering, no origin of suffering, no cessation of suffering, no path, no wisdom, no attainment, and no nonattainment."
49,ཡེ་ཤེས་མེད།,"There is no wisdom.
","“There is no suffering, no origin of suffering, no cessation of suffering, no path, no wisdom, no attainment, and no nonattainment."
50,ཐོབ་པ་མེད།,"There is no attainment.
","“There is no suffering, no origin of suffering, no cessation of suffering, no path, no wisdom, no attainment, and no nonattainment."
51,མ་ཐོབ་པ་ཡང་མེད་དོ། །,"There is no nonattainment.
","“There is no suffering, no origin of suffering, no cessation of suffering, no path, no wisdom, no attainment, and no nonattainment."
52,​ཤཱ་རིའི་བུ་དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཐོབ་པ་མེད་པའི་ཕྱིར།,"Śāriputra, bodhisattvas do not attain anything.
","“Śāriputra, therefore, since bodhisattvas have no attainment, they rely upon and dwell in the perfection of wisdom."
53,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་བརྟེན་ཅིང་,"They rely on the perfection of wisdom.
","“Śāriputra, therefore, since bodhisattvas have no attainment, they rely upon and dwell in the perfection of wisdom."
54,གནས་ཏེ།,"They abide in the state of a bodhisattva.
","“Śāriputra, therefore, since bodhisattvas have no attainment, they rely upon and dwell in the perfection of wisdom."
55,སེམས་ལ་སྒྲིབ་པ་མེད་པས་སྐྲག་པ་མེད་དེ།,"Since their minds are free from obscurations, they are fearless.
","Because their minds have no veils, they have no fear. Having utterly gone beyond error, they reach the culmination of nirvāṇa."
56,ཕྱིན་ཅི་ལོག་ལས་ཤིན་ཏུ་འདས་ནས་,"They have transcended all error.
","Because their minds have no veils, they have no fear. Having utterly gone beyond error, they reach the culmination of nirvāṇa."
57,མྱ་ངན་ལས་འདས་པར་མཐར་ཕྱིན་ཏོ། །,"They will reach the end of nirvāṇa.
","Because their minds have no veils, they have no fear. Having utterly gone beyond error, they reach the culmination of nirvāṇa."
58,​དུས་གསུམ་དུ་རྣམ་པར་བཞུགས་པའི་སངས་རྒྱས་ཐམས་ཅད་ཀྱང་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལ་བརྟེན་ནས་,"All the buddhas who dwell in the three times also rely on the perfection of wisdom.
",“All the buddhas who reside in the three times have likewise fully awakened to unsurpassed and perfect awakening by relying upon the perfection of wisdom.
59,བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་སོ། །,"He attained the highest, most complete enlightenment of perfect buddhahood.
",“All the buddhas who reside in the three times have likewise fully awakened to unsurpassed and perfect awakening by relying upon the perfection of wisdom.
60,​དེ་ལྟ་བས་ན་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྔགས།,"Therefore, the mantra of the perfection of wisdom is: 'om gate gate paragate parasamgate bodhi soha.'
","“Therefore, the mantra of the perfection of wisdom is the mantra of great knowledge, the unsurpassed mantra, the mantra that is equal to the unequaled, and the mantra that utterly pacifies all suffering."
61,རིག་པ་ཆེན་པོའི་སྔགས།,"The mantra of great knowledge.
","“Therefore, the mantra of the perfection of wisdom is the mantra of great knowledge, the unsurpassed mantra, the mantra that is equal to the unequaled, and the mantra that utterly pacifies all suffering."
62,བླ་ན་མེད་པའི་སྔགས།,"It is the unexcelled mantra.
","“Therefore, the mantra of the perfection of wisdom is the mantra of great knowledge, the unsurpassed mantra, the mantra that is equal to the unequaled, and the mantra that utterly pacifies all suffering."
63,མི་མཉམ་པ་དང་མཉམ་པའི་སྔགས།,"The mantra of the unequalled is the mantra of the unequalled.
","“Therefore, the mantra of the perfection of wisdom is the mantra of great knowledge, the unsurpassed mantra, the mantra that is equal to the unequaled, and the mantra that utterly pacifies all suffering."
64,སྡུག་བསྔལ་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱེད་པའི་སྔགས།,"It is the mantra that pacifies all suffering.
","“Therefore, the mantra of the perfection of wisdom is the mantra of great knowledge, the unsurpassed mantra, the mantra that is equal to the unequaled, and the mantra that utterly pacifies all suffering."
65,མི་རྫུན་པས་ན་བདེན་པར་ཤེས་པར་བྱ་སྟེ།,"Since they are not false, they should be understood to be true.
","Since it is not false, it should be known to be true."
66,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྔགས་སྨྲས་པ།,"The mantra of the perfection of wisdom was spoken.
",“The mantra of the perfection of wisdom is stated thus:
67,ཏདྱ་ཐཱ། ག་ཏེ་ག་ཏེ་པཱ་ར་ག་ཏེ། པཱ་ར་སཾ་ག་ཏེ། བོ་དྷི་སྭ་ཧཱ།,"Tadyathā | gate gate pāragate | pārasaṃgate | bodhi svāhā
",tadyathā gate gate pāragate pārasaṃgate bodhi svāhā
68,ཤཱ་རིའི་བུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་ལྟར་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟབ་མོ་ལ་བསླབ་པར་བྱའོ། །,"Śāriputra, bodhisattva great beings should train in the profound perfection of wisdom in that way.""
","“Śāriputra, this is the way a bodhisattva great being should train in the profound perfection of wisdom.”"
69,​དེ་ནས་བཅོམ་ལྡན་འདས་ཏིང་ངེ་འཛིན་དེ་ལས་བཞེངས་ཏེ།,"Then the Blessed One arose from that samādhi.
","Then the Blessed One arose from that absorption and gave his approval to the bodhisattva great being, noble Avalokiteśvara, saying, “Excellent! Excellent!"
70,བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་འཕགས་པ་སྤྱན་རས་དབང་ཕྱུག་ལ་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ནས།,"The bodhisattva mahāsattva gave the noble Avalokiteśvara a gift of praise.
","Then the Blessed One arose from that absorption and gave his approval to the bodhisattva great being, noble Avalokiteśvara, saying, “Excellent! Excellent!"
71,ལེགས་སོ་ལེགས་སོ།,"Excellent! Excellent!
","Then the Blessed One arose from that absorption and gave his approval to the bodhisattva great being, noble Avalokiteśvara, saying, “Excellent! Excellent!"
72,རིགས་ཀྱི་བུ་དེ་དེ་བཞིན་ནོ། །​,"Noble son, it is so.
","Son of noble family, it is like that."
73,རིགས་ཀྱི་བུ་དེ་དེ་བཞིན་ཏེ།,"Noble son, it is so.
","Son of noble family, it is like that."
74,ཇི་ལྟར་ཁྱོད་ཀྱིས་བསྟན་པ་བཞིན་དུ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཟབ་མོ་ལ་སྤྱད་པར་བྱ་སྟེ།,"I will practice the profound perfection of wisdom as you have taught me.""
","The profound perfection of wisdom should be practiced just as you have taught, and even the thus-gone ones will rejoice.”"
75,དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱང་རྗེས་སུ་ཡི་རང་ངོ་། །,"The tathāgatas also rejoice.
","The profound perfection of wisdom should be practiced just as you have taught, and even the thus-gone ones will rejoice.”"
76,​བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས།,"After the Blessed One had said this,
","When the Blessed One had said this, venerable Śāradvatīputra, the bodhisattva great being, noble Avalokiteśvara, and the entire assembly, as well as the world with its devas, humans, asuras, and gandharvas, rejoiced and praised what the Blessed One had said."
77,ཚེ་དང་ལྡན་པ་ཤཱ་ར་དྭ་ཏིའི་བུ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་དག་དང་། ​ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ།,"Venerable Śāradvatīputra, the bodhisattva great being Avalokiteśvara, and the entire assembly, as well as the world with its gods, humans, asuras, and gandharvas, rejoiced.
","When the Blessed One had said this, venerable Śāradvatīputra, the bodhisattva great being, noble Avalokiteśvara, and the entire assembly, as well as the world with its devas, humans, asuras, and gandharvas, rejoiced and praised what the Blessed One had said."
78,བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ། །,"They praised the words of the Blessed One.
","When the Blessed One had said this, venerable Śāradvatīputra, the bodhisattva great being, noble Avalokiteśvara, and the entire assembly, as well as the world with its devas, humans, asuras, and gandharvas, rejoiced and praised what the Blessed One had said."
79,བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་རྫོགས་སོ།། །།,"This concludes the Mahāyāna sūtra called The Heart of the Perfection of Wisdom.
","This completes The Great Vehicle Sūtra “The Heart of the Perfection of Wisdom, the Blessed Mother.”"
